Host,Name,IP,Groups,Tags
CL-PLD-PK-SRV-01,CL-PLD-PK-SRV-01,10.121.196.10,"servers, servidores-PK, ServerParking","AREA:Parking, SO:Windows, SO_VERSION:WS2016"
CL-PAL-COP-RPT-01,CL-PAL-COP-RPT-01,10.201.45.10,"CL-PAL-COP, CL-COP-RPT",
PE-MBV-COP-PME-1,PE-MBV-COP-PME-1,10.225.39.120,"PME, PE-MBV-COP, PME-PERU",
CL-PCO-COP-CAM-159,CL-PCO-COP-CAM-159,10.152.28.85,CL-PCO-COP,
CL-PNO-COP-SW-12,CL-PNO-COP-SW-12,10.152.50.251,"CL-PNO-COP, switch","componente:CL-PNO-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C3560G-48TS"
CL-PTR-COP-CAM-45,CL-PTR-COP-CAM-45,10.150.20.209,CL-PTR-COP,
CL-PNO-COP-SW-17,CL-PNO-COP-SW-17,10.152.50.226,"CL-PNO-COP, switch","componente:CL-PNO-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960+24PC-S"
PE-MBV-TI-AP-01,PE-MBV-TI-AP-01,10.225.6.10,"PE-MBV-TI, AP","marca:cisco, modelo:C9120AXI-A"
CL-PVE-TI-ACC-36,CL-PVE-TI-ACC-36,10.2.2.36,"CL-PVE-TI, FLUJOS",
CL-PVE-TI-ACC-37,CL-PVE-TI-ACC-37,10.2.2.32,"CL-PVE-TI, FLUJOS",
CL-PVE-TI-ACC-38,CL-PVE-TI-ACC-38,10.2.2.58,"CL-PVE-TI, FLUJOS",
CL-PK-GW-CLARO,CL-PK-GW-CLARO,200.27.141.17,"CL-DC-PK, Firewalls",
CL-PLA-PK-SW4,CL-PLA-PK-SW4,10.121.96.249,"CL-PLA-PK, switch","red:parking, marca:cisco, modelo:WS-C2960+24LC-S"
CL-PTR-COP-SW-07,CL-PTR-COP-SW-07,10.150.136.253,"CL-PTR-COP, switch","filtro-inventario:sw-cop, marca:ruckus, modelo:ICX7150-C12-2X1G"
PE-MTR-COP-CAM-107,PE-MTR-COP-CAM-107,10.255.10.68,PE-MTR-COP,
PE-MTR-COP-CAM-097,PE-MTR-COP-CAM-097,10.255.10.60,PE-MTR-COP,
PE-MTR-COP-CAM-111,PE-MTR-COP-CAM-111,10.255.10.70,PE-MTR-COP,
PE-MTR-COP-CAM-106,PE-MTR-COP-CAM-106,10.255.10.67,PE-MTR-COP,
CL-PTR-TI-ACC-03,CL-PTR-TI-ACC-03,10.4.2.42,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-01,CL-PTR-TI-ACC-01,10.4.2.44,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-02,CL-PTR-TI-ACC-02,10.4.2.41,"CL-PTR-TI, FLUJOS",
CO-PCA-COP-WD-01,CO-PCA-COP-WD-01,10.221.38.2,CO-COP-WATCHDOG,
CL-PTR-TI-ACC-06,CL-PTR-TI-ACC-06,10.4.2.46,"CL-PTR-TI, FLUJOS",
CL-PVE-TI-ACC-39,CL-PVE-TI-ACC-39,10.2.2.34,"CL-PVE-TI, FLUJOS",
